No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Tiworo Kepulauan;7413010;Tiworo Kepulauan;74.13.09
2;Maginti;7413020;Maginti;74.13.06
3;Tiworo Tengah;7413030;Tiworo Tengah;74.13.07
4;Tiworo Selatan;7413040;Tiworo Selatan;74.13.05
5;Tiworo Utara;7413050;Tiworo Utara;74.13.08
6;Lawa;7413060;Lawa;74.13.03
7;Sawerigadi;7413070;Sawerigadi;74.13.01
8;Barangka;7413080;Barangka;74.13.02
9;Wa Daga;7413090;Wadaga;74.13.04
10;Kusambi;7413100;Kusambi;74.13.10
11;Napano Kusambi;7413110;Napano Kusambi;74.13.11
