No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Balubu;7317030001;Balubu;73.17.07.2015
2;Pasamai;7317030002;Pasamai;73.17.07.2016
3;Senga Selatan;7317030003;Senga Selatan;73.17.07.2014
4;Senga;7317030004;Senga;73.17.07.1005
5;Belopa;7317030005;Belopa;73.17.07.2006
6;Balo- Balo;7317030006;Balo-balo;73.17.07.1007
7;Kurrusumanga;7317030007;Kurrusumanga;73.17.07.2004
8;Tanamanai;7317030019;Tanamanai;73.17.07.1003
9;Tampumia Radda;7317030020;Tampumia Radda;73.17.07.1001
