No;Nama Kabupaten / Kota;Kode Kabupaten / Kota;Nama Kabupaten / Kota;Kode Kabupaten / Kota
1;Pacitan;3501;Kab. Pacitan;35.01
2;Ponorogo;3502;Kab. Ponorogo;35.02
3;Trenggalek;3503;Kab. Trenggalek;35.03
4;Tulungagung;3504;Kab. Tulungagung;35.04
5;Blitar;3505;Kab. Blitar;35.05
6;Kediri;3506;Kab. Kediri;35.06
7;Malang;3507;Kab. Malang;35.07
8;Lumajang;3508;Kab. Lumajang;35.08
9;Jember;3509;Kab. Jember;35.09
10;Banyuwangi;3510;Kab. Banyuwangi;35.10
11;Bondowoso;3511;Kab. Bondowoso;35.11
12;Situbondo;3512;Kab. Situbondo;35.12
13;Probolinggo;3513;Kab. Probolinggo;35.13
14;Pasuruan;3514;Kab. Pasuruan;35.14
15;Sidoarjo;3515;Kab. Sidoarjo;35.15
16;Mojokerto;3516;Kab. Mojokerto;35.16
17;Jombang;3517;Kab. Jombang;35.17
18;Nganjuk;3518;Kab. Nganjuk;35.18
19;Madiun;3519;Kab. Madiun;35.19
20;Magetan;3520;Kab. Magetan;35.20
21;Ngawi;3521;Kab. Ngawi;35.21
22;Bojonegoro;3522;Kab. Bojonegoro;35.22
23;Tuban;3523;Kab. Tuban;35.23
24;Lamongan;3524;Kab. Lamongan;35.24
25;Gresik;3525;Kab. Gresik;35.25
26;Bangkalan;3526;Kab. Bangkalan;35.26
27;Sampang;3527;Kab. Sampang;35.27
28;Pamekasan;3528;Kab. Pamekasan;35.28
29;Sumenep;3529;Kab. Sumenep;35.29
30;Kediri;3571;Kota Kediri;35.71
31;Blitar;3572;Kota Blitar;35.72
32;Malang;3573;Kota Malang;35.73
33;Probolinggo;3574;Kota Probolinggo;35.74
34;Pasuruan;3575;Kota Pasuruan;35.75
35;Mojokerto;3576;Kota Mojokerto;35.76
36;Madiun;3577;Kota Madiun;35.77
37;Surabaya;3578;Kota Surabaya;35.78
38;Batu;3579;Kota Batu;35.79
