No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Katikutana;5316010;Katiku Tana;53.17.01
2;Katikutana Selatan;5316011;Katiku Tana Selatan;53.17.05
3;Umbu Ratu Nggay Barat;5316020;Umbu Ratu Nggay Barat;53.17.02
4;Umbu Ratu Nggay;5316030;Umbu Ratu Nggay;53.17.04
5;Mamboro;5316040;Mamboro;53.17.03
