No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Darul Makmur;1115010;Darul Makmur;11.15.05
2;Tripa Makmur;1115011;Tripa Makmur;11.15.09
3;Kuala;1115020;Kuala;11.15.01
4;Kuala Pesisir;1115021;Kuala Pesisir;11.15.07
5;Tadu Raya;1115022;Tadu Raya;11.15.08
6;Beutong;1115030;Beutong;11.15.04
7;Beutong Ateuh Banggalang;1115031;Beutong Ateuh Banggalang;11.15.10
8;Seunagan;1115040;Seunagan;11.15.02
9;Suka Makmue;1115041;Suka Makmue;11.15.06
10;Seunagan Timur;1115050;Seunagan Timur;11.15.03
