No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Inanwatan;9106010;Inanwatan;92.04.04
2;Metemani;9106011;Matemani;92.04.20
3;Kokoda;9106020;Kokoda;92.04.09
4;Kais;9106021;Kais;92.04.14
5;Kokoda Utara;9106022;Kokoda Utara;92.04.21
6;Kais Darat;9106023;Kais Darat;92.04.26
7;Moswaren;9106060;Moswaren;92.04.10
8;Teminabuan;9106070;Teminabuan;92.04.01
9;Seremuk;9106071;Seremuk;92.04.11
10;Wayer;9106072;Wayer;92.04.12
11;Konda;9106073;Konda;92.04.15
12;Saifi;9106074;Saifi;92.04.22
13;Sawiat;9106080;Sawiat;92.04.06
14;Fokour;9106081;Fokour;92.04.24
15;Salkma;9106082;Salkma;92.04.25
