No;Nama Kabupaten / Kota;Kode Kabupaten / Kota;Nama Kabupaten / Kota;Kode Kabupaten / Kota
1;Bengkulu Selatan;1701;Kab. Bengkulu Selatan;17.01
2;Rejang Lebong;1702;Kab. Rejang Lebong;17.02
3;Bengkulu Utara;1703;Kab. Bengkulu Utara;17.03
4;Kaur;1704;Kab. Kaur;17.04
5;Seluma;1705;Kab. Seluma;17.05
6;Mukomuko;1706;Kab. Muko Muko;17.06
7;Lebong;1707;Kab. Lebong;17.07
8;Kepahiang;1708;Kab. Kepahiang;17.08
9;Bengkulu Tengah;1709;Kab. Bengkulu Tengah;17.09
10;Bengkulu;1771;Kota Bengkulu;17.71
