No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Waled;3209010;Waled;32.09.01
2;Pasaleman;3209011;Pasaleman;32.09.32
3;Ciledug;3209020;Ciledug;32.09.02
4;Pabuaran;3209021;Pabuaran;32.09.33
5;Losari;3209030;Losari;32.09.03
6;Pabedilan;3209031;Pabedilan;32.09.04
7;Babakan;3209040;Babakan;32.09.05
8;Gebang;3209041;Gebang;32.09.30
9;Karangsembung;3209050;Karangsembung;32.09.06
10;Karangwareng;3209051;Karangwareng;32.09.34
11;Lemahabang;3209060;Lemahabang;32.09.07
12;Susukanlebak;3209061;Susukan Lebak;32.09.08
13;Sedong;3209070;Sedong;32.09.09
14;Astanajapura;3209080;Astanajapura;32.09.10
15;Pangenan;3209081;Pangenan;32.09.11
16;Mundu;3209090;Mundu;32.09.12
17;Beber;3209100;Beber;32.09.13
18;Greged;3209101;Greged;32.09.38
19;Talun;3209111;Talun;32.09.14
20;Sumber;3209120;Sumber;32.09.15
21;Dukupuntang;3209121;Dukupuntang;32.09.16
22;Palimanan;3209130;Palimanan;32.09.17
23;Plumbon;3209140;Plumbon;32.09.18
24;Depok;3209141;Depok;32.09.31
25;Weru;3209150;Weru;32.09.19
26;Plered;3209151;Plered;32.09.36
27;Tengah Tani;3209161;Tengah Tani;32.09.35
28;Kedawung;3209162;Kedawung;32.09.20
29;Gunungjati;3209171;Gunung Jati;32.09.21
30;Kapetakan;3209180;Kapetakan;32.09.22
31;Suranenggala;3209181;Suranenggala;32.09.39
32;Klangenan;3209190;Klangenan;32.09.23
33;Jamblang;3209191;Jamblang;32.09.40
34;Arjawinangun;3209200;Arjawinangun;32.09.24
35;Panguragan;3209201;Panguragan;32.09.25
36;Ciwaringin;3209210;Ciwaringin;32.09.26
37;Gempol;3209211;Gempol;32.09.37
38;Susukan;3209220;Susukan;32.09.27
39;Gegesik;3209230;Gegesik;32.09.28
40;Kaliwedi;3209231;Kaliwedi;32.09.29
