No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Sausu;7208010;Sausu;72.08.06
2;Torue;7208011;Torue;72.08.09
3;Balinggi;7208012;Balinggi;72.08.15
4;Parigi;7208020;Parigi;72.08.01
5;Parigi Selatan;7208021;Parigi Selatan;72.08.11
6;Parigi Barat;7208022;Parigi Barat;72.08.16
7;Parigi Utara;7208023;Parigi Utara;72.08.19
8;Parigi Tengah;7208024;Parigi Tengah;72.08.20
9;Ampibabo;7208030;Ampibabo;72.08.02
10;Kasimbar;7208031;Kasimbar;72.08.08
11;Toribulu;7208032;Toribulu;72.08.13
12;Siniu;7208033;Siniu;72.08.17
13;Tinombo;7208040;Tinombo;72.08.03
14;Tinombo Selatan;7208041;Tinombo Selatan;72.08.10
15;Sidoan;7208042;Sidoan;72.08.23
16;Tomini;7208050;Tomini;72.08.05
17;Mepanga;7208051;Mepanga;72.08.12
18;Palasa;7208052;Palasa;72.08.18
19;Moutong;7208060;Moutong;72.08.04
20;Bolano Lambunu;7208061;Bolano Lambunu;72.08.07
21;Taopa;7208062;Taopa;72.08.14
22;Bolano;7208063;Bolano;72.08.21
23;Ongka Malino;7208064;Ongka Malino;72.08.22
