No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Jati;3316010;Jati;33.16.01
2;Randublatung;3316020;Randublatung;33.16.02
3;Kradenan;3316030;Kradenan;33.16.03
4;Kedungtuban;3316040;Kedungtuban;33.16.04
5;Cepu;3316050;Cepu;33.16.05
6;Sambong;3316060;Sambong;33.16.06
7;Jiken;3316070;Jiken;33.16.07
8;Bogorejo;3316080;Bogorejo;33.16.15
9;Jepon;3316090;Jepon;33.16.08
10;Kota Blora;3316100;Blora;33.16.09
11;Banjarejo;3316110;Banjarejo;33.16.11
12;Tunjungan;3316120;Tunjungan;33.16.10
13;Japah;3316130;Japah;33.16.16
14;Ngawen;3316140;Ngawen;33.16.12
15;Kunduran;3316150;Kunduran;33.16.13
16;Todanan;3316160;Todanan;33.16.14
