No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Lestari;1208080001;Lestari;12.09.16.2003
2;Buntu Pane;1208080005;Buntu Pane;12.09.16.2002
3;Ambalutu;1208080006;Ambalutu;12.09.16.2001
4;Prapat Janji;1208080008;Prapat Janji;12.09.16.2005
5;Sei Silau Timur;1208080012;Sei Silau Timur;12.09.16.2007
6;Sionggang;1208080013;Sionggang;12.09.16.2016
7;Mekar Sari;1208080014;Mekar Sari;12.09.16.2017
8;Perkebunan Sei Silau;1208080015;Perkebunan Sei Silau;12.09.16.2018
9;Karya Ambalutu;1208080016;Karya Ambalutu;12.09.16.2019
