No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Satar Mese;5313040;Satar Mese;53.10.05
2;Satar Mese Barat;5313041;Satar Mese Barat;53.10.13
3;Satar Mese Utara;5313042;Satar Mese Utara;53.10.18
4;Langke Rembong;5313110;Langke Rembong;53.10.12
5;Ruteng;5313120;Ruteng;53.10.03
6;Wae Rii;5313121;Wae Rii;53.10.01
7;Lelak;5313122;Lelak;53.10.15
8;Rahong Utara;5313123;Rahong Utara;53.10.14
9;Cibal;5313130;Cibal;53.10.06
10;Cibal Barat;5313131;Cibal Barat;53.10.17
11;Reok;5313140;Reok;53.10.11
12;Reok Barat;5313141;Reok Barat;53.10.16
