"date","title"
"            1 Januari 2019   19:25 WIB        ","                2018, Perusahaan Teknologi Ini Fasilitasi Transaksi Ritel Online Rp 500 Miliar            "
"            1 Januari 2019   17:13 WIB        ","                ""Ramp Check"" Pesawat Diintensifkan Hingga 6 Januari 2019            "
"            1 Januari 2019   16:36 WIB        ","                Pelindo I Sambut Kapal Perdana yang Bersandar di Tahun 2019            "
"            1 Januari 2019   16:00 WIB        ","                Libur Tahun Baru, Setengah Juta Orang Pergi Keluar Negeri             "
"            1 Januari 2019   14:28 WIB        ","                Jumlah Penumpang saat Natal dan Tahun Baru di Pelabuhan Tanjung Perak Naik 64,16 Persen            "
"            1 Januari 2019   13:38 WIB        ","                10 Orang Terkaya di Dunia Versi Bloomberg Billionaire Index            "
"            1 Januari 2019   13:30 WIB        ","                 2019, AP II Incar Kelola Bandara di Negara Lain            "
"            1 Januari 2019   13:03 WIB        ","                Sambut 2019, Sri Mulyani Bicara soal Suntikan ke BPJS Kesehatan             "
"            1 Januari 2019   12:39 WIB        ","                Sepanjang 2018,  Bandara AP II Layani 115 Juta Penumpang             "
"            1 Januari 2019   12:16 WIB        ","                Utang Ratusan Miliar Rupiah, Wim Cycle Ajukan PKPU            "
"            1 Januari 2019   09:26 WIB        ","                Penerimaan Negara 2018 Lebihi Target, Defisit Terkecil Sejak 2012            "
"            1 Januari 2019   08:23 WIB        ","                Refleksi 2018, Sri Mulyani Kenang 21 Jajarannya Jadi Korban JT-610            "
"            1 Januari 2019   06:06 WIB        ","                Ini 10 Berita Ekonomi yang Paling Banyak Dibaca Tahun 2018            "
"            1 Januari 2019   05:53 WIB        ","                Korsel Larang Supermarket Gunakan Kantong Plastik             "
"            2 Januari 2019   20:17 WIB        ","                Sepanjang 2018, Inflasi DKI Jakarta 3,27 Persen            "
"            2 Januari 2019   19:42 WIB        ","                Penerimaan Pajak Tak Capai Target, Tapi Bea dan Cukai Sebaliknya            "
"            2 Januari 2019   18:53 WIB        ","                Target Pemerintah soal Jumlah Wisman Tak Tercapai, Ini Sebabnya            "
"            2 Januari 2019   18:45 WIB        ","                Tahun Ini, Angkasa Pura I Targetkan Pendapatan Rp 10 Triliun            "
"            2 Januari 2019   18:30 WIB        ","                Ada Asian Games dan Pertemuan IMF-Bank Dunia, Kunjungan Wisman Naik 11,63 Persen            "
"            2 Januari 2019   18:10 WIB        ","                Sepanjang 2018, Angkasa Pura I Layani 96,5 Juta Penumpang            "
"            2 Januari 2019   17:55 WIB        ","                Defisit Anggaran dan Keseimbangan Primer 2018 Terkecil Sejak 2012            "
"            2 Januari 2019   17:30 WIB        ","                KEIN: Rata-rata Inflasi Bahan Makanan 5 Tahun Terakhir Turun 36 Persen            "
"            2 Januari 2019   17:12 WIB        ","                OJK Minta Perbankan Tak Buru-buru Respon Kenaikan Bunga Acuan            "
"            2 Januari 2019   16:47 WIB        ","                Lebihi Target, Penerimaan Negara Tahun 2018 Tembus Rp 1.942,3 Triliun            "
"            2 Januari 2019   16:40 WIB        ","                Menko Darmin Tekankan Pentingnya Integritas di Pasar Modal            "
"            2 Januari 2019   16:14 WIB        ","                Lini Bisnis Ditutup, BEI Pantau First Media            "
"            2 Januari 2019   16:02 WIB        ","                Pengguna Pesawat Turun saat Libur Natal dan Tahun Baru 2018            "
"            2 Januari 2019   15:16 WIB        ","                Menko Darmin Yakin Inflasi 2019 Bisa Dikendalikan            "
"            2 Januari 2019   14:42 WIB        ","                Tutup Tahun 2018, 100 Persen Desa di NTB Telah Dialiri Listrik            "
"            2 Januari 2019   14:15 WIB        ","                Pertamina EP Targetkan Produksi Minyak di Pangkalan Susu Field 1.000 Barrel Per Hari            "
"            2 Januari 2019   14:00 WIB        ","                Jangan Lupa, Mulai Hari Ini Layanan OSS Pindah ke Kantor BKPM            "
"            2 Januari 2019   13:49 WIB        ","                Dirut Mandiri Prediksi BI Naikkan Suku Bunga 2 Kali Tahun Ini            "
"            2 Januari 2019   13:30 WIB        ","                Darmin: Pertumbuhan Ekonomi Indonesia Terjaga di Tengah Perang Dagang            "
"            2 Januari 2019   13:15 WIB        ","                Awal Tahun 2019, Harga Minyak Dunia Anjlok 1 Persen            "
"            2 Januari 2019   12:53 WIB        ","                Harga BBM dan Beras Punya Andil Besar terhadap Inflasi 2018            "
"            2 Januari 2019   12:45 WIB        ","                Jika Pemilu Lancar, Bos Mandiri Optimistis Likuiditas Perbankan Membaik            "
"            2 Januari 2019   12:24 WIB        ","                Inflasi Desember 2018 0,62 Persen, Dipicu Harga Telur dan Daging Ayam            "
