No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Tungkal Ulu;1507010;Tungkal Ulu;15.06.01
2;Merlung;1507011;Merlung;15.06.05
3;Batang Asam;1507012;Batang Asam;15.06.07
4;Tebing Tinggi;1507013;Tebing Tinggi;15.06.06
5;Renah Mendaluh;1507014;Renah Mendaluh;15.06.08
6;Muara Papalik;1507015;Muara Papalik;15.06.09
7;Pengabuan;1507020;Pengabuan;15.06.03
8;Senyerang;1507021;Senyerang;15.06.13
9;Tungkal Ilir;1507030;Tungkal Ilir;15.06.02
10;Bram Itam;1507031;Bram Itam;15.06.11
11;Seberang Kota;1507032;Seberang Kota;15.06.10
12;Betara;1507040;Betara;15.06.04
13;Kuala Betara;1507041;Kuala Betara;15.06.12
