No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Pulau Banyak;1102010;Pulau Banyak;11.10.01
2;Pulau Banyak Barat;1102011;Pulau Banyak Barat;11.10.16
3;Singkil;1102020;Singkil;11.10.04
4;Singkil Utara;1102021;Singkil Utara;11.10.10
5;Kuala Baru;1102022;Kuala Baru;11.10.14
6;Simpang Kanan;1102030;Simpang Kanan;11.10.02
7;Gunung Meriah;1102031;Gunung Meriah;11.10.06
8;Danau Paris;1102032;Danau Paris;11.10.11
9;Suro;1102033;Suro Makmur;11.10.12
10;Singkohor;1102042;Singkohor;11.10.13
11;Kota Baharu;1102043;Kota Baharu;11.10.09
