No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Pulau Maya;6111010;Pulau Maya;61.11.04
2;Kepulauan Karimata;6111011;Kepulauan Karimata;61.11.06
3;Sukadana;6111020;Sukadana;61.11.01
4;Simpang Hilir;6111030;Simpang Hilir;61.11.02
5;Teluk Batang;6111040;Teluk Batang;61.11.03
6;Seponti;6111050;Seponti;61.11.05
