,nickname_seller,username_seller,follower,following,num_product,rating,chat_service,sale_age,product_name,product_price,product_rating,product_sold,product_place,product_link
15,SoundMagic Indonesia Official ,soundmagic.indonesia,"1,6RB",1,39,4.6 (648 Penilaian),100% (Hitungan Jam),24 Bulan Lalu,SoundMAGIC E10C In Earphone Gold Garansi Resmi 1 Tahun,Rp525.000,0,1 Terjual,KOTA JAKARTA PUSAT,https://shopee.co.id/SoundMAGIC-E10C-In-Earphone-Gold-Garansi-Resmi-1-Tahun-i.79849470.1347571174
16,SoundMagic Indonesia Official ,soundmagic.indonesia,"1,6RB",1,39,4.6 (648 Penilaian),100% (Hitungan Jam),24 Bulan Lalu,SoundMAGIC P11S Black Red Garansi Resmi 1 Tahun,Rp250.000,0,,KOTA JAKARTA PUSAT,https://shopee.co.id/SoundMAGIC-P11S-Black-Red-Garansi-Resmi-1-Tahun-i.79849470.1347186426
17,SoundMagic Indonesia Official ,soundmagic.indonesia,"1,6RB",1,39,4.6 (648 Penilaian),100% (Hitungan Jam),24 Bulan Lalu,New Old Stock SoundMAGIC E80C Silver In Ear Isolating Earphones with Mic Garansi Resmi 1 Bulan,Rp626.500,5,1 Terjual,KOTA JAKARTA PUSAT,https://shopee.co.id/New-Old-Stock-SoundMAGIC-E80C-Silver-In-Ear-Isolating-Earphones-with-Mic-Garansi-Resmi-1-Bulan-i.79849470.1347408520
18,SoundMagic Indonesia Official ,soundmagic.indonesia,"1,6RB",1,39,4.6 (648 Penilaian),100% (Hitungan Jam),24 Bulan Lalu,New Old Stock SoundMAGIC E50C In Ear Isolating Earphones with Mic Silver Garansi 1 Bulan,Rp750.000,5,3 Terjual,KOTA JAKARTA PUSAT,https://shopee.co.id/New-Old-Stock-SoundMAGIC-E50C-In-Ear-Isolating-Earphones-with-Mic-Silver-Garansi-1-Bulan-i.79849470.1347072275
19,SoundMagic Indonesia Official ,soundmagic.indonesia,"1,6RB",1,39,4.6 (648 Penilaian),100% (Hitungan Jam),24 Bulan Lalu,SoundMAGIC P22BT Portable Wireless Bluetooth Headphones (NEW PRODUK) Garansi Resmi 1 Tahun,Rp700.000,5,2 Terjual,KOTA JAKARTA PUSAT,https://shopee.co.id/SoundMAGIC-P22BT-Portable-Wireless-Bluetooth-Headphones-(NEW-PRODUK)-Garansi-Resmi-1-Tahun-i.79849470.1802804621
20,SoundMagic Indonesia Official ,soundmagic.indonesia,"1,6RB",1,39,4.6 (648 Penilaian),100% (Hitungan Jam),24 Bulan Lalu,SoundMAGIC E10C In Earphone Blue Garansi Resmi 1 Tahun (paling banyak mendapatkan pengharagaan),Rp525.000,5,3 Terjual,KOTA JAKARTA PUSAT,https://shopee.co.id/SoundMAGIC-E10C-In-Earphone-Blue-Garansi-Resmi-1-Tahun-(paling-banyak-mendapatkan-pengharagaan)-i.79849470.1335755250
21,SoundMagic Indonesia Official ,soundmagic.indonesia,"1,6RB",1,39,4.6 (648 Penilaian),100% (Hitungan Jam),24 Bulan Lalu,SoundMAGIC E80C In Ear Isolating Earphones with Mic Gold Garansi Resmi 1 Tahun,Rp895.000,0,,KOTA JAKARTA PUSAT,https://shopee.co.id/SoundMAGIC-E80C-In-Ear-Isolating-Earphones-with-Mic-Gold-Garansi-Resmi-1-Tahun-i.79849470.1347110869
22,SoundMagic Indonesia Official ,soundmagic.indonesia,"1,6RB",1,39,4.6 (648 Penilaian),100% (Hitungan Jam),24 Bulan Lalu,New Old Stock SoundMAGIC E30 Pink In Earphone Garansi Resmi 1 Bulan No Box,Rp247.500,0,,KOTA JAKARTA PUSAT,https://shopee.co.id/New-Old-Stock-SoundMAGIC-E30-Pink-In-Earphone-Garansi-Resmi-1-Bulan-No-Box-i.79849470.6940169486
23,SoundMagic Indonesia Official ,soundmagic.indonesia,"1,6RB",1,39,4.6 (648 Penilaian),100% (Hitungan Jam),24 Bulan Lalu,New Old Stock SoundMAGIC PL30+ Black in Earphone Garansi Resmi 1 Bulan,Rp365.000,0,,KOTA JAKARTA PUSAT,https://shopee.co.id/New-Old-Stock-SoundMAGIC-PL30-Black-in-Earphone-Garansi-Resmi-1-Bulan-i.79849470.5140173051
24,SoundMagic Indonesia Official ,soundmagic.indonesia,"1,6RB",1,39,4.6 (648 Penilaian),100% (Hitungan Jam),24 Bulan Lalu,New Old Stock SoundMAGIC PL20 in Earphone Garansi Resmi 1 Bulan,Rp94.500,0,,KOTA JAKARTA PUSAT,https://shopee.co.id/New-Old-Stock-SoundMAGIC-PL20-in-Earphone-Garansi-Resmi-1-Bulan-i.79849470.5140168726
