No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Jatinangor;3211010;Jatinangor;32.11.15
2;Cimanggung;3211020;Cimanggung;32.11.14
3;Tanjungsari;3211030;Tanjungsari;32.11.11
4;Sukasari;3211031;Sukasari;32.11.12
5;Pamulihan;3211032;Pamulihan;32.11.13
6;Rancakalong;3211040;Rancakalong;32.11.16
7;Sumedang Selatan;3211050;Sumedang Selatan;32.11.17
8;Sumedang Utara;3211060;Sumedang Utara;32.11.18
9;Ganeas;3211061;Ganeas;32.11.19
10;Situraja;3211070;Situraja;32.11.06
11;Cisitu;3211071;Cisitu;32.11.05
12;Darmaraja;3211080;Darmaraja;32.11.03
13;Cibugel;3211090;Cibugel;32.11.04
14;Wado;3211100;Wado;32.11.01
15;Jatinunggal;3211101;Jatinunggal;32.11.02
16;Jatigede;3211111;Jatigede;32.11.26
17;Tomo;3211120;Tomo;32.11.24
18;Ujung Jaya;3211130;Ujungjaya;32.11.25
19;Conggeang;3211140;Conggeang;32.11.07
20;Paseh;3211150;Paseh;32.11.08
21;Cimalaka;3211160;Cimalaka;32.11.22
22;Cisarua;3211161;Cisarua;32.11.23
23;Tanjungkerta;3211170;Tanjungkerta;32.11.20
24;Tanjungmedar;3211171;Tanjungmedar;32.11.21
25;Buahdua;3211180;Buahdua;32.11.10
26;Surian;3211181;Surian;32.11.09
