No;Nama Kabupaten / Kota;Kode Kabupaten / Kota;Nama Kabupaten / Kota;Kode Kabupaten / Kota
1;Paser;6401;Kab. Paser;64.01
2;Kutai Barat;6402;Kab. Kutai Barat;64.07
3;Kutai Barat;6402;Kab. Kutai Barat;64.07
4;Kutai Kartanegara;6403;Kab. Kutai Kartanegara;64.02
5;Kutai Timur;6404;Kab. Kutai Timur;64.08
6;Berau;6405;Kab. Berau;64.03
7;Penajam Paser Utara;6409;Kab. Penajam Paser Utara;64.09
8;Mahakam Hulu;6411;Kab. Mahakam Ulu;64.11
9;Mahakam Hulu;6411;Kab. Mahakam Ulu;64.11
10;Balikpapan;6471;Kota Balikpapan;64.71
11;Samarinda;6472;Kota Samarinda;64.72
12;Bontang;6474;Kota Bontang;64.74
