No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Karang Pilang;3578010;Karangpilang;35.78.01
2;Jambangan;3578020;Jambangan;35.78.23
3;Gayungan;3578030;Gayungan;35.78.22
4;Wonocolo;3578040;Wonocolo;35.78.02
5;Tenggilis Mejoyo;3578050;Tenggilis Mejoyo;35.78.24
6;Gunung Anyar;3578060;Gunung Anyar;35.78.25
7;Rungkut;3578070;Rungkut;35.78.03
8;Sukolilo;3578080;Sukolilo;35.78.09
9;Mulyorejo;3578090;Mulyorejo;35.78.26
10;Gubeng;3578100;Gubeng;35.78.08
11;Wonokromo;3578110;Wonokromo;35.78.04
12;Dukuh Pakis;3578120;Dukuh Pakis;35.78.21
13;Wiyung;3578130;Wiyung;35.78.20
14;Lakarsantri;3578140;Lakarsantri;35.78.18
15;Sambikerep;3578141;Sambikerep;35.78.31
16;Tandes;3578150;Tandes;35.78.14
17;Suko Manunggal;3578160;Sukomanunggal;35.78.27
18;Sawahan;3578170;Sawahan;35.78.06
19;Tegalsari;3578180;Tegalsari;35.78.05
20;Genteng;3578190;Genteng;35.78.07
21;Tambaksari;3578200;Tambaksari;35.78.10
22;Kenjeran;3578210;Kenjeran;35.78.17
23;Bulak;3578211;Bulak;35.78.29
24;Simokerto;3578220;Simokerto;35.78.11
25;Semampir;3578230;Semampir;35.78.16
26;Pabean Cantian;3578240;Pabean Cantian;35.78.12
27;Bubutan;3578250;Bubutan;35.78.13
28;Krembangan;3578260;Krembangan;35.78.15
29;Asemrowo;3578270;Asem Rowo;35.78.28
30;Benowo;3578280;Benowo;35.78.19
31;Pakal;3578281;Pakal;35.78.30
