No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Bukit Kemuning;1806010;Bukit Kemuning;18.03.01
2;Abung Tinggi;1806011;Abung Tinggi;18.03.12
3;Tanjung Raja;1806020;Tanjung Raja;18.03.04
4;Abung Barat;1806030;Abung Barat;18.03.06
5;Abung Tengah;1806031;Abung Tengah;18.03.11
6;Abung Kunang;1806032;Abung Kunang;18.03.22
7;Abung Pekurun;1806033;Abung Pekurun;18.03.19
8;Kotabumi;1806040;Kotabumi;18.03.02
9;Kotabumi Utara;1806041;Kotabumi Utara;18.03.09
10;Kotabumi Selatan;1806042;Kotabumi Selatan;18.03.10
11;Abung Selatan;1806050;Abung Selatan;18.03.07
12;Abung Semuli;1806051;Abung Semuli;18.03.13
13;Blambangan Pagar;1806052;Blambangan Pagar;18.03.23
14;Abung Timur;1806060;Abung Timur;18.03.05
15;Abung Surakarta;1806061;Abung Surakarta;18.03.14
16;Sungkai Selatan;1806070;Sungkai Selatan;18.03.03
17;Muara Sungkai;1806071;Muara Sungkai;18.03.15
18;Bunga Mayang;1806072;Bunga Mayang;18.03.16
19;Sungkai Barat;1806073;Sungkai Barat;18.03.21
20;Sungkai Jaya;1806074;Sungkai Jaya;18.03.20
21;Sungkai Utara;1806080;Sungkai Utara;18.03.08
22;Hulusungkai;1806081;Hulu Sungkai;18.03.17
23;Sungkai Tengah;1806082;Sungkai Tengah;18.03.18
