No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Mentaya Hilir Selatan;6202020;Mentaya Hilir Selatan;62.02.08
2;Teluk Sampit;6202021;Teluk Sampit;62.02.11
3;Pulau Hanaut;6202050;Pulau Hanaut;62.02.09
4;Mentawa Baru_ketapang;6202060;Mentawa Baru Ketapang;62.02.06
5;Seranau;6202061;Seranau;62.02.12
6;Mentaya Hilir Utara;6202070;Mentaya Hilir Utara;62.02.07
7;Kota Besi;6202110;Kota Besi;62.02.01
8;Telawang;6202111;Telawang;62.02.14
9;Baamang;6202120;Baamang;62.02.05
10;Cempaga;6202190;Cempaga;62.02.02
11;Cempaga Hulu;6202191;Cempaga Hulu;62.02.13
12;Parenggean;6202200;Parenggean;62.02.04
13;Tualan Hulu;6202201;Tualan Hulu;62.02.16
14;Mentaya Hulu;6202210;Mentaya Hulu;62.02.03
15;Bukit Santuai;6202211;Bukit Santuai;62.02.15
16;Antang Kalang;6202230;Antang Kalang;62.02.10
17;Telaga Antang;6202231;Telaga Antang;62.02.17
