No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Pulau Ternate;8271010;Pulau Ternate;82.71.01
2;Moti;8271011;Moti;82.71.04
3;Pulau Batang Dua;8271012;Pulau Batang Dua;82.71.05
4;Pulau Hiri;8271013;Pulau Hiri;82.71.07
5;Ternate Barat;8271014;---;---
6;Ternate Selatan;8271020;Kota Ternate Selatan;82.71.02
7;Ternate Tengah;8271021;Kota Ternate Tengah;82.71.06
8;Ternate Utara;8271030;Kota Ternate Utara;82.71.03
