No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Mangara Bombang;7305010;Mangarabombang;73.05.02
2;Mappakasunggu;7305020;Mappakasunggu;73.05.01
3;Sanrobone;7305021;Sanrobone;73.05.08
4;Polombangkeng Selatan;7305030;Polombangkeng Selatan;73.05.03
5;Pattallassang;7305031;Pattallassang;73.05.07
6;Polombangkeng Utara;7305040;Polombangkeng Utara;73.05.04
7;Galesong Selatan;7305050;Galesong Selatan;73.05.05
8;Galesong;7305051;Galesong;73.05.09
9;Galesong Utara;7305060;Galesong Utara;73.05.06
