No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Mendo Barat;1901070;Mendo Barat;19.01.04
2;Merawang;1901080;Merawang;19.01.03
3;Puding Besar;1901081;Puding Besar;19.01.08
4;Sungai Liat;1901090;Sungailiat;19.01.01
5;Pemali;1901091;Pemali;19.01.05
6;Bakam;1901092;Bakam;19.01.06
7;Belinyu;1901130;Belinyu;19.01.02
8;Riau Silip;1901131;Riau Silip;19.01.07
