No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Maesan;3511010;Maesan;35.11.01
2;Grujugan;3511020;Grujugan;35.11.06
3;Tamanan;3511030;Tamanan;35.11.02
4;Jambesari Darus Sholah;3511031;Jambesari Darus Sholah;35.11.23
5;Pujer;3511040;Pujer;35.11.05
6;Tlogosari;3511050;Tlogosari;35.11.03
7;Sukosari;3511060;Sukosari;35.11.04
8;Sumber Wringin;3511061;Sumberwringin;35.11.18
9;Tapen;3511070;Tapen;35.11.10
10;Wonosari;3511080;Wonosari;35.11.09
11;Tenggarang;3511090;Tenggarang;35.11.08
12;Bondowoso;3511100;Bondowoso;35.11.11
13;Curah Dami;3511110;Curahdami;35.11.07
14;Binakal;3511111;Binakal;35.11.20
15;Pakem;3511120;Pakem;35.11.17
16;Wringin;3511130;Wringin;35.11.12
17;Tegalampel;3511140;Tegalampel;35.11.13
18;Taman Krocok;3511141;Taman Krocok;35.11.21
19;Klabang;3511150;Klabang;35.11.14
20;Ijen;3511151;Sempol;35.11.19
21;Botolinggo;3511152;Botolinggo;35.11.22
22;Prajekan;3511160;Prajekan;35.11.16
23;Cermee;3511170;Cermee;35.11.15
