No;Nama Kabupaten / Kota;Kode Kabupaten / Kota;Nama Kabupaten / Kota;Kode Kabupaten / Kota
1;Karimun;2101;Kab. Karimun;21.02
2;Bintan;2102;Kab. Bintan;21.01
3;Natuna;2103;Kab. Natuna;21.03
4;Lingga;2104;Kab. Lingga;21.04
5;Kepulauan Anambas;2105;Kab. Kepulauan Anambas;21.05
6;B A T A M;2171;Kota Batam;21.71
7;Tanjung Pinang;2172;Kota Tanjung Pinang;21.72
