No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Batudaa Pantai;7502010;Batudaa Pantai;75.01.05
2;Biluhu;7502011;Biluhu;75.01.20
3;Batudaa;7502020;Batudaa;75.01.03
4;Bongomeme;7502021;Bongomeme;75.01.11
5;Tabongo;7502022;Tabongo;75.01.19
6;Dungaliyo;7502023;Dungaliyo;75.01.24
7;Tibawa;7502030;Tibawa;75.01.04
8;Pulubala;7502031;Pulubala;75.01.16
9;Boliyohuto;7502040;Boliyohuto;75.01.09
10;Mootilango;7502041;Mootilango;75.01.14
11;Tolangohula;7502042;Tolangohula;75.01.13
12;Asparaga;7502043;Asparaga;75.01.21
13;Bilato;7502044;Bilato;75.01.23
14;Limboto;7502070;Limboto;75.01.01
15;Limboto Barat;7502071;Limboto Barat;75.01.17
16;Telaga;7502080;Telaga;75.01.02
17;Telaga Biru;7502081;Telaga Biru;75.01.10
18;Tilango;7502082;Tilango;75.01.18
19;Telaga Jaya;7502083;Talaga Jaya;75.01.22
