No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Bongan;6402010;Bongan;64.07.12
2;Jempang;6402020;Jempang;64.07.11
3;Penyinggahan;6402030;Penyinggahan;64.07.13
4;Muara Pahu;6402040;Muara Pahu;64.07.10
5;Siluq Ngurai;6402041;Siluq Ngurai;64.07.17
6;Muara Lawa;6402050;Muara Lawa;64.07.09
7;Bentian Besar;6402051;Bentian Besar;64.07.14
8;Damai;6402060;Damai;64.07.08
9;Nyuatan;6402061;Nyuatan;64.07.16
10;Barong Tongkok;6402070;Barong Tongkok;64.07.07
11;Linggang Bigung;6402071;Linggang Bigung;64.07.15
12;Melak;6402080;Melak;64.07.06
13;Sekolaq Darat;6402081;Sekolaq Darat;64.07.20
14;Manor Bulatn;6402082;Mook Manaar Bulatn;64.07.18
15;Long Iram;6402090;Long Iram;64.07.05
16;Tering;6402091;Tering;64.07.19
