No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Wonotunggal;3325010;Wonotunggal;33.25.01
2;Bandar;3325020;Bandar;33.25.02
3;Blado;3325030;Blado;33.25.03
4;Reban;3325040;Reban;33.25.04
5;Bawang;3325050;Bawang;33.25.05
6;Tersono;3325060;Tersono;33.25.06
7;Gringsing;3325070;Gringsing;33.25.07
8;Limpung;3325080;Limpung;33.25.08
9;Banyuputih;3325081;Banyuputih;33.25.15
10;Subah;3325090;Subah;33.25.09
11;Pecalungan;3325091;Pecalungan;33.25.14
12;Tulis;3325100;Tulis;33.25.10
13;Kandeman;3325101;Kandeman;33.25.13
14;Batang;3325110;Batang;33.25.11
15;Warungasem;3325120;Warungasem;33.25.12
