No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Martapura;1609010;Martapura;16.08.01
2;Bunga Mayang;1609011;Bunga Mayang;16.08.11
3;Jaya Pura;1609012;Jayapura;16.08.16
4;Buay Pemuka Peliung;1609020;Buay Pemuka Peliung;16.08.05
5;Buay Madang;1609030;Buay Madang;16.08.02
6;Buay Madang Timur;1609031;Buay Madang Timur;16.08.12
7;Buay Pemuka Bangsa Raja;1609032;Buay Pemuka Bangsa Raja;16.08.20
8;Madang Suku Ii;1609040;Madang Suku Ii;16.08.06
9;Madang Suku Iii;1609041;Madang Suku Iii;16.08.13
10;Madang Suku I;1609050;Madang Suku I;16.08.07
11;Belitang Madang Raya;1609051;Belitang Madang Raya;16.08.18
12;Belitang;1609060;Belitang;16.08.03
13;Belitang Jaya;1609061;Belitang Jaya;16.08.17
14;Belitang Iii;1609070;Belitang Iii;16.08.10
15;Belitang Ii;1609080;Belitang Ii;16.08.09
16;Belitang Mulya;1609081;Belitang Mulya;16.08.19
17;Semendawai Suku Iii;1609090;Semendawai Suku Iii;16.08.08
18;Semendawai Timur;1609091;Semendawai Timur;16.08.15
19;Cempaka;1609100;Cempaka;16.08.04
20;Semendawai Barat;1609101;Semendawai Barat;16.08.14
