No;Nama Kabupaten / Kota;Kode Kabupaten / Kota;Nama Kabupaten / Kota;Kode Kabupaten / Kota
1;Kotawaringin Barat;6201;Kab. Kotawaringin Barat;62.01
2;Kotawaringin Timur;6202;Kab. Kotawaringin Timur;62.02
3;Kapuas;6203;Kab. Kapuas;62.03
4;Barito Selatan;6204;Kab. Barito Selatan;62.04
5;Barito Utara;6205;Kab. Barito Utara;62.05
6;Sukamara;6206;Kab. Sukamara;62.08
7;Lamandau;6207;Kab. Lamandau;62.09
8;Seruyan;6208;Kab. Seruyan;62.07
9;Katingan;6209;Kab. Katingan;62.06
10;Pulang Pisau;6210;Kab. Pulang Pisau;62.11
11;Gunung Mas;6211;Kab. Gunung Mas;62.10
12;Barito Timur;6212;Kab. Barito Timur;62.13
13;Murung Raya;6213;Kab. Murung Raya;62.12
14;Palangka Raya;6271;Kota Palangkaraya;62.71
