No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Burau;7325010;Burau;73.24.07
2;Wotu;7325020;Wotu;73.24.06
3;Tomoni;7325030;Tomoni;73.24.08
4;Tomoni Timur;7325031;Tomoni Timur;73.24.09
5;Angkona;7325040;Angkona;73.24.05
6;Malili;7325050;Malili;73.24.04
7;Towuti;7325060;Towuti;73.24.03
8;Nuha;7325070;Nuha;73.24.02
9;Wasuponda;7325071;Wasuponda;73.24.11
10;Mangkutana;7325080;Mangkutana;73.24.01
11;Kalaena;7325081;Kalaena;73.24.10
