No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Pantai Timur Bagian Barat;9419021;Pantai Timur Bagian Barat;91.10.14
2;Pantai Timur;9419022;Pantai Timur;91.10.04
3;Sungai Biri;9419024;---;---
4;Veen;9419025;---;---
5;Bonggo;9419031;Bonggo;91.10.05
6;Bonggo Timur;9419032;Bonggo Timur;91.10.15
7;Bonggo Barat;9419033;Bonggo;91.10.05
8;Tor Atas;9419040;Tor Atas;91.10.02
9;Ismari;9419041;Sarmi;91.10.01
10;Sarmi;9419050;Sarmi;91.10.01
11;Sarmi Timur;9419051;Sarmi Timur;91.10.13
12;Sarmi Selatan;9419052;Sarmi Selatan;91.10.12
13;Sobey;9419053;---;---
14;Muara Tor;9419054;---;---
15;Verkam;9419055;---;---
16;Pantai Barat;9419060;Pantai Barat;91.10.03
17;Apawer Hulu;9419061;Apawer Hulu;91.10.09
18;Apawer Hilir;9419062;Apawer Hulu;91.10.09
19;Apawer Tengah;9419063;Apawer Hulu;91.10.09
