No;Nama Kabupaten / Kota;Kode Kabupaten / Kota;Nama Kabupaten / Kota;Kode Kabupaten / Kota
1;Sumba Barat;5301;Kab. Sumba Barat;53.12
2;Sumba Timur;5302;Kab. Sumba Timur;53.11
3;Kupang;5303;Kab. Kupang;53.01
4;Timor Tengah Selatan;5304;Kab Timor Tengah Selatan;53.02
5;Timor Tengah Utara;5305;Kab. Timor Tengah Utara;53.03
6;Belu;5306;Kab. Belu;53.04
7;Belu;5306;Kab. Belu;53.04
8;Alor;5307;Kab. Alor;53.05
9;Lembata;5308;Kab. Lembata;53.13
10;Flores Timur;5309;Kab. Flores Timur;53.06
11;Sikka;5310;Kab. Sikka;53.07
12;Ende;5311;Kab. Ende;53.08
13;Ngada;5312;Kab. Ngada;53.09
14;Manggarai;5313;Kab. Manggarai;53.10
15;Rote Ndao;5314;Kab. Rote Ndao;53.14
16;Manggarai Barat;5315;Kab. Manggarai Barat;53.15
17;Sumba Tengah;5316;Kab. Sumba Tengah;53.17
18;Sumba Barat Daya;5317;Kab. Sumba Barat Daya;53.18
19;Nagekeo;5318;Kab. Nagekeo;53.16
20;Manggarai Timur;5319;Kab. Manggarai Timur;53.19
21;Sabu Raijua;5320;Kab. Sabu Raijua;53.20
22;Malaka;5321;Kab. Malaka;53.21
23;Malaka;5321;Kab. Malaka;53.21
24;Kupang;5371;Kota Kupang;53.71
