No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Kapuas Kuala;6203020;Kapuas Kuala;62.03.04
2;Tamban Catur;6203021;Tamban Catur;62.03.13
3;Kapuas Timur;6203030;Kapuas Timur;62.03.03
4;Selat;6203040;Selat;62.03.01
5;Bataguh;6203041;Bataguh;62.03.17
6;Basarang;6203070;Basarang;62.03.08
7;Kapuas Hilir;6203080;Kapuas Hilir;62.03.02
8;Pulau Petak;6203090;Pulau Petak;62.03.06
9;Kapuas Murung;6203100;Kapuas Murung;62.03.07
10;Dadahup;6203101;Dadahup;62.03.16
11;Kapuas Barat;6203110;Kapuas Barat;62.03.05
12;Mantangai;6203150;Mantangai;62.03.09
13;Timpah;6203160;Timpah;62.03.10
14;Kapuas Tengah;6203170;Kapuas Tengah;62.03.11
15;Pasak Talawang;6203171;Pasak Talawang;62.03.14
16;Kapuas Hulu;6203180;Kapuas Hulu;62.03.12
17;Mandau Talawang;6203181;Mandau Talawang;62.03.15
