No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Kimaam;9401010;Kimaam;91.01.04
2;Waan;9401011;Waan;91.01.19
3;Tabonji;9401012;Tabonji;91.01.18
4;Ilwayab;9401013;Ilwayab;91.01.20
5;Okaba;9401020;Okaba;91.01.03
6;Tubang;9401021;Tubang;91.01.15
7;Ngguti;9401022;Ngguti;91.01.16
8;Kaptel;9401023;Kaptel;91.01.17
9;Kurik;9401030;Kurik;91.01.11
10;Malind;9401031;Malind;91.01.14
11;Animha;9401032;Animha;91.01.13
12;Merauke;9401040;Merauke;91.01.01
13;Semangga;9401041;Semangga;91.01.05
14;Tanah Miring;9401042;Tanah Miring;91.01.06
15;Jagebob;9401043;Jagebob;91.01.07
16;Sota;9401044;Sota;91.01.08
17;Naukenjerai;9401045;Naukenjerai;91.01.12
18;Muting;9401050;Muting;91.01.02
19;Eligobel;9401051;Elikobal;91.01.10
20;Ulilin;9401052;Ulilin;91.01.09
