No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Tembuni;9104060001;Tembuni;92.06.09.2001
2;Araisum;9104060002;Araisum;92.06.09.2003
3;Mogoy Baru;9104060003;Mogoi Baru;92.06.09.2002
4;Bangun Mulia (Stenkool I);9104060004;Bangun Mulya;92.06.09.2004
5;Membera;9104060005;---;---
6;Ciner;9104060006;---;---
7;Muntop;9104060007;---;---
8;Suruw;9104060008;---;---
9;Pangkalan _ Tussur;9104060009;---;---
10;Bangun Harjo;9104060010;---;---
