No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Rimbo Pengadang;1707010;Rimbo Pengadang;17.07.05
2;Topos;1707011;Topos;17.07.06
3;Lebong Selatan;1707020;Lebong Selatan;17.07.04
4;Bingin Kuning;1707021;Bingin Kuning;17.07.07
5;Lebong Tengah;1707030;Lebong Tengah;17.07.03
6;Lebong Sakti;1707031;Lebong Sakti;17.07.08
7;Lebong Atas;1707040;Lebong Atas;17.07.02
8;Pelabai;1707042;Pelabai;17.07.09
9;Lebong Utara;1707050;Lebong Utara;17.07.01
10;Amen;1707051;Amen;17.07.10
11;Uram Jaya;1707052;Uram Jaya;17.07.11
12;Pinang Belapis;1707053;Pinang Belapis;17.07.12
