No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Bakung;3505010;Bakung;35.05.05
2;Wonotirto;3505020;Wonotirto;35.05.08
3;Panggungrejo;3505030;Panggungrejo;35.05.13
4;Wates;3505040;Wates;35.05.20
5;Binangun;3505050;Binangun;35.05.16
6;Sutojayan;3505060;Sutojayan;35.05.12
7;Kademangan;3505070;Kademangan;35.05.04
8;Kanigoro;3505080;Kanigoro;35.05.10
9;Talun;3505090;Talun;35.05.14
10;Selopuro;3505100;Selopuro;35.05.22
11;Kesamben;3505110;Kesamben;35.05.19
12;Selorejo;3505120;Selorejo;35.05.21
13;Doko;3505130;Doko;35.05.18
14;Wlingi;3505140;Wlingi;35.05.17
15;Gandusari;3505150;Gandusari;35.05.15
16;Garum;3505160;Garum;35.05.11
17;Nglegok;3505170;Nglegok;35.05.09
18;Sanankulon;3505180;Sanankulon;35.05.07
19;Ponggok;3505190;Ponggok;35.05.06
20;Srengat;3505200;Srengat;35.05.03
21;Wonodadi;3505210;Wonodadi;35.05.01
22;Udanawu;3505220;Udanawu;35.05.02
