No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Parmonangan;1205030;Parmonangan;12.02.11
2;Adiankoting;1205040;Adian Koting;12.02.03
3;Sipoholon;1205050;Sipoholon;12.02.04
4;Tarutung;1205060;Tarutung;12.02.01
5;Siatas Barita;1205061;Siatas Barita;12.02.02
6;Pahae Julu;1205070;Pahae Julu;12.02.05
7;Pahae Jae;1205080;Pahae Jae;12.02.06
8;Purbatua;1205081;Purba Tua;12.02.08
9;Simangumban;1205082;Simangumban;12.02.07
10;Pangaribuan;1205090;Pangaribuan;12.02.13
11;Garoga;1205100;Garoga;12.02.14
12;Sipahutar;1205110;Sipahutar;12.02.12
13;Siborongborong;1205120;Siborong-borong;12.02.09
14;Pagaran;1205130;Pagaran;12.02.10
15;Muara;1205180;Muara;12.02.15
