No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Kendawangan;6106010;Kendawangan;61.04.04
2;Manis Mata;6106020;Manis Mata;61.04.03
3;Marau;6106030;Marau;61.04.02
4;Singkup;6106031;Singkup;61.04.22
5;Air Upas;6106032;Air Upas;61.04.21
6;Jelai Hulu;6106040;Jelai Hulu;61.04.14
7;Tumbang Titi;6106050;Tumbang Titi;61.04.13
8;Pemahan;6106051;Pemahan;61.04.24
9;Sungai Melayu Rayak;6106052;Sungai Melayu Rayak;61.04.25
10;Matan Hilir Selatan;6106060;Matan Hilir Selatan;61.04.12
11;Benua Kayong;6106061;Benua Kayong;61.04.18
12;Matan Hilir Utara;6106070;Matan Hilir Utara;61.04.01
13;Delta Pawan;6106071;Delta Pawan;61.04.16
14;Muara Pawan;6106072;Muara Pawan;61.04.17
15;Nanga Tayap;6106090;Nanga Tayap;61.04.11
16;Sandai;6106100;Sandai;61.04.05
17;Hulu Sungai;6106101;Hulu Sungai;61.04.19
18;Sungai Laur;6106110;Sungai Laur;61.04.07
19;Simpang Hulu;6106120;Simpang Hulu;61.04.08
20;Simpang Dua;6106121;Simpang Dua;61.04.20
