No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Lempuing;1602010;Lempuing;16.02.13
2;Lempuing Jaya;1602011;Lempuing Jaya;16.02.22
3;Mesuji;1602020;Mesuji;16.02.04
4;Sungai Menang;1602021;Sungai Menang;16.02.15
5;Mesuji Makmur;1602022;Mesuji Makmur;16.02.20
6;Mesuji Raya;1602023;Mesuji Raya;16.02.21
7;Tulung Selapan;1602030;Tulung Selapan;16.02.11
8;Cengal;1602031;Cengal;16.02.18
9;Pedamaran;1602040;Pedamaran;16.02.03
10;Pedamaran Timur;1602041;Pedamaran Timur;16.02.24
11;Tanjung Lubuk;1602050;Tanjung Lubuk;16.02.02
12;Teluk Gelam;1602051;Teluk Gelam;16.02.23
13;Kota Kayu Agung;1602060;Kayu Agung;16.02.05
14;Sirah Pulau Padang;1602120;Sirah Pulau Padang;16.02.08
15;Jejawi;1602121;Jejawi;16.02.17
16;Pampangan;1602130;Pampangan;16.02.12
17;Pangkalan Lapam;1602131;Pangkalan Lampam;16.02.19
18;Air Sugihan;1602140;Air Sugihan;16.02.14
