No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Aluh - Aluh;6303010;Aluh Aluh;63.03.01
2;Beruntung Baru;6303011;Beruntung Baru;63.03.13
3;Gambut;6303020;Gambut;63.03.03
4;Kertak Hanyar;6303030;Kertak Hanyar;63.03.02
5;Tatah Makmur;6303031;Tatah Makmur;63.03.19
6;Sungai Tabuk;6303040;Sungai Tabuk;63.03.04
7;Martapura;6303050;Martapura;63.03.05
8;Martapura Timur;6303051;Martapura Timur;63.03.15
9;Martapura Barat;6303052;Martapura Barat;63.03.14
10;Astambul;6303060;Astambul;63.03.07
11;Karang Intan;6303070;Karang Intan;63.03.06
12;Aranio;6303080;Aranio;63.03.11
13;Sungai Pinang;6303090;Sungai Pinang;63.03.10
14;Paramasan;6303091;Paramasan;63.03.17
15;Pengaron;6303100;Pengarom;63.03.09
16;Sambung Makmur;6303101;Sambung Makmur;63.03.16
17;Mataraman;6303110;Mataraman;63.03.12
18;Simpang Empat;6303120;Cintapuri Darussalam;63.03.20
19;Simpang Empat;6303120;Simpang Empat;63.03.08
20;Telaga Bauntung;6303121;Telaga Bauntung;63.03.18
21;Cintapuri Darussalam;6303122;Cintapuri Darussalam;63.03.20
22;Cintapuri Darussalam;6303122;Simpang Empat;63.03.08
