No;Nama Kabupaten / Kota;Kode Kabupaten / Kota;Nama Kabupaten / Kota;Kode Kabupaten / Kota
1;Merauke;9401;Kab. Merauke;91.01
2;Jayawijaya;9402;Kab. Jayawijaya;91.02
3;Jayapura;9403;Kab. Jayapura;91.03
4;Nabire;9404;Kab. Nabire;91.04
5;Kepulauan Yapen;9408;Kab. Kepulauan Yapen;91.05
6;Biak Numfor;9409;Kab. Biak Numfor;91.06
7;Paniai;9410;Kab. Paniai;91.08
8;Puncak Jaya;9411;Kab. Puncak Jaya;91.07
9;Mimika;9412;Kab. Mimika;91.09
10;Boven Digoel;9413;Kab. Boven Digoel;91.16
11;Mappi;9414;Kab. Mappi;91.17
12;Asmat;9415;Kab. Asmat;91.18
13;Yahukimo;9416;Kab. Yahukimo;91.13
14;Pegunungan Bintang;9417;Kab Pegunungan Bintang;91.12
15;Tolikara;9418;Kab. Tolikara;91.14
16;Sarmi;9419;Kab. Sarmi;91.10
17;Keerom;9420;Kab. Keerom;91.11
18;Waropen;9426;Kab. Waropen;91.15
19;Supiori;9427;Kab. Supiori;91.19
20;Mamberamo Raya;9428;Kab. Mamberamo Raya;91.20
21;Nduga;9429;Kab. Nduga;91.24
22;Lanny Jaya;9430;Kab. Lanny Jaya;91.23
23;Mamberamo Tengah;9431;Kab. Mamberamo Tengah;91.21
24;Yalimo;9432;Kab. Yalimo;91.22
25;Puncak;9433;Kab. Puncak;91.25
26;Dogiyai;9434;Kab. Dogiyai;91.26
27;Intan Jaya;9435;Kab. Intan Jaya;91.27
28;Deiyai;9436;Kab. Deiyai;91.28
29;Jayapura;9471;Kota Jayapura;91.71
