No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Kabaena;7406010;Kabaena;74.06.05
2;Kabaena Utara;7406011;Kabaena Utara;74.06.15
3;Kabaena Selatan;7406012;Kabaena Selatan;74.06.13
4;Kabaena Barat;7406013;Kabaena Barat;74.06.14
5;Kabaena Timur;7406020;Kabaena Timur;74.06.06
6;Kabaena Tengah;7406021;Kabaena Tengah;74.06.16
7;Rumbia;7406030;Rumbia;74.06.04
8;Mata Oleo;7406031;Mata Oleo;74.06.08
9;Kep. Masaloka Raya;7406032;Kep. Masaloka Raya;74.06.17
10;Rumbia Tengah;7406033;Rumbia Tengah;74.06.18
11;Rarowatu;7406040;Rarowatu;74.06.03
12;Rarowatu Utara;7406041;Rarowatu Utara;74.06.09
13;Mata Usu;7406042;Mata Usu;74.06.22
14;Lantari Jaya;7406043;Lantari Jaya;74.06.21
15;Poleang Timur;7406050;Poleang Timur;74.06.02
16;Poleang Utara;7406051;Poleang Utara;74.06.10
17;Poleang Selatan;7406052;Poleang Selatan;74.06.11
18;Poleang Tenggara;7406053;Poleang Tenggara;74.06.12
19;Poleang;7406060;Poleang;74.06.01
20;Poleang Barat;7406061;Poleang Barat;74.06.07
21;Tontonunu;7406062;Tontonunu;74.06.20
22;Poleang Tengah;7406063;Poleang Tengah;74.06.19
