No;Nama Kabupaten / Kota;Kode Kabupaten / Kota;Nama Kabupaten / Kota;Kode Kabupaten / Kota
1;Kerinci;1501;Kab. Kerinci;15.01
2;Merangin;1502;Kab. Merangin;15.02
3;Sarolangun;1503;Kab. Sarolangun;15.03
4;Batang Hari;1504;Kab. Batanghari;15.04
5;Muaro Jambi;1505;Kab. Muaro Jambi;15.05
6;Tanjung Jabung Timur;1506;Kab. Tanjung Jabung Timur;15.07
7;Tanjung Jabung Barat;1507;Kab. Tanjung Jabung Barat;15.06
8;Tebo;1508;Kab. Tebo;15.09
9;Bungo;1509;Kab. Bungo;15.08
10;Jambi;1571;Kota Jambi;15.71
11;Sungai Penuh;1572;Kota Sungai Penuh;15.72
