No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Plantungan;3324010;Plantungan;33.24.01
2;Sukorejo;3324020;Sukorejo;33.24.03
3;Pagerruyung;3324030;Pageruyung;33.24.02
4;Patean;3324040;Patean;33.24.04
5;Singorojo;3324050;Singorojo;33.24.05
6;Limbangan;3324060;Limbangan;33.24.06
7;Boja;3324070;Boja;33.24.07
8;Kaliwungu;3324080;Kaliwungu;33.24.08
9;Kaliwungu Selatan;3324081;Kaliwungu Selatan;33.24.20
10;Brangsong;3324090;Brangsong;33.24.09
11;Pegandon;3324100;Pegandon;33.24.10
12;Ngampel;3324101;Ngampel;33.24.19
13;Gemuh;3324110;Gemuh;33.24.11
14;Ringinarum;3324111;Ringinarum;33.24.18
15;Weleri;3324120;Weleri;33.24.12
16;Rowosari;3324130;Rowosari;33.24.16
17;Kangkung;3324140;Kangkung;33.24.17
18;Cepiring;3324150;Cepiring;33.24.13
19;Patebon;3324160;Patebon;33.24.14
20;Kota Kendal;3324170;Kendal;33.24.15
