No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Babat Jerawat;3578281001;Babat Jerawat;35.78.30.1002
2;Pakal;3578281002;Pakal;35.78.30.1001
3;Benowo;3578281003;Benowo;35.78.30.1005
4;Sumberrejo;3578281004;Sumber Rejo;35.78.30.1004
5;Sumberrejo;3578281004;Sumber Rejo;35.78.30.1004
