No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Paga;5310010;Paga;53.07.01
2;Mego;5310011;Mego;53.07.02
3;Tana Wawo;5310012;Tana Wawo;53.07.17
4;Lela;5310020;Lela;53.07.03
5;Bola;5310030;Bola;53.07.11
6;Doreng;5310031;Doreng;53.07.20
7;Mapitara;5310032;Mapitara;53.07.21
8;Talibura;5310040;Talibura;53.07.08
9;Waigete;5310041;Waigete;53.07.09
10;Waiblama;5310042;Waiblama;53.07.13
11;Kewapante;5310050;Kewapante;53.07.10
12;Hewokloang;5310051;Hewokloang;53.07.18
13;Kangae;5310052;Kangae;53.07.19
14;Palue;5310061;Palue;53.07.06
15;Koting;5310062;Koting;53.07.16
16;Nelle;5310063;Nelle;53.07.07
17;Nita;5310070;Nita;53.07.04
18;Magepanda;5310071;Magepanda;53.07.12
19;Alok;5310080;Alok;53.07.05
20;Alok Barat;5310081;Alok Barat;53.07.14
21;Alok Timur;5310082;Alok Timur;53.07.15
