No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Manganitu Selatan;7103040;Manganitu Selatan;71.03.10
2;Tatoareng;7103041;Tatoareng;71.03.11
3;Tamako;7103050;Tamako;71.03.12
4;Tabukan Selatan;7103060;Tabukan Selatan;71.03.15
5;Tabukan Selatan Tengah;7103061;Tabukan Selatan Tengah;71.03.19
6;Tabukan Selatan Tenggara;7103062;Tabukan Selatan Tenggara;71.03.20
7;Tabukan Tengah;7103070;Tabukan Tengah;71.03.14
8;Manganitu;7103080;Manganitu;71.03.13
9;Tahuna;7103090;Tahuna;71.03.17
10;Tahuna Timur;7103091;Tahuna Timur;71.03.24
11;Tahuna Barat;7103092;Tahuna Barat;71.03.23
12;Tabukan Utara;7103100;Tabukan Utara;71.03.08
13;Nusa Tabukan;7103101;Nusa Tabukan;71.03.09
14;Kepulauan Marore;7103102;Kepulauan Marore;71.03.25
15;Kendahe;7103110;Kendahe;71.03.16
