No;Nama Kabupaten / Kota;Kode Kabupaten / Kota;Nama Kabupaten / Kota;Kode Kabupaten / Kota
1;Banggai Kepulauan;7201;Kab. Banggai Kepulauan;72.07
2;Banggai Kepulauan;7201;Kab. Banggai Kepulauan;72.07
3;Banggai;7202;Kab. Banggai;72.01
4;Morowali;7203;Kab. Morowali;72.06
5;Morowali;7203;Kab. Morowali;72.06
6;Poso;7204;Kab. Poso;72.02
7;Donggala;7205;Kab. Donggala;72.03
8;Toli-toli;7206;Kab. Toli Toli;72.04
9;Buol;7207;Kab. Buol;72.05
10;Parigi Moutong;7208;Kab. Parigi Moutong;72.08
11;Tojo Una-una;7209;Kab. Tojo Una Una;72.09
12;Sigi;7210;Kab. Sigi;72.10
13;Banggai Laut;7211;Kab. Banggai Laut;72.11
14;Banggai Laut;7211;Kab. Banggai Laut;72.11
15;Morowali Utara;7212;Kab. Morowali Utara;72.12
16;Morowali Utara;7212;Kab. Morowali Utara;72.12
17;Palu;7271;Kota Palu;72.71
