No;Nama Kabupaten / Kota;Kode Kabupaten / Kota;Nama Kabupaten / Kota;Kode Kabupaten / Kota
1;Bangka;1901;Kab. Bangka;19.01
2;Belitung;1902;Kab. Belitung;19.02
3;Bangka Barat;1903;Kab. Bangka Barat;19.05
4;Bangka Tengah;1904;Kab. Bangka Tengah;19.04
5;Bangka Selatan;1905;Kab. Bangka Selatan;19.03
6;Belitung Timur;1906;Kab. Belitung Timur;19.06
7;Pangkal Pinang;1971;Kota Pangkal Pinang;19.71
