No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Tapalang;7604010;Tapalang;76.02.02
2;Tapalang Barat;7604011;Tapalang Barat;76.02.13
3;Mamuju;7604020;Mamuju;76.02.01
4;Simboro;7604022;Simboro Dan Kepulauan;76.02.12
5;Kepulauan Bala Balakang;7604023;Kep. Bala Balakang;76.02.16
6;Kalukku;7604030;Kalukku;76.02.03
7;Papalang;7604031;Papalang;76.02.07
8;Sampaga;7604032;Sampaga;76.02.08
9;Tommo;7604033;Tommo;76.02.11
10;Kalumpang;7604040;Kalumpang;76.02.04
11;Bonehau;7604041;Bonehau;76.02.15
