No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Maratua Payung-payung;6405041001;Payung-payung;64.03.11.2002
2;Maratua Bohesilian;6405041002;Bohe Silian;64.03.11.2001
3;Maratua Teluk Alulu;6405041003;Teluk Alulu;64.03.11.2003
4;Maratua Teluk Harapan;6405041004;Teluk Harapan;64.03.11.2004
