No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Kenduruan;3523010;Kenduruan;35.23.01
2;Bangilan;3523020;Bangilan;35.23.03
3;Senori;3523030;Senori;35.23.05
4;Singgahan;3523040;Singgahan;35.23.07
5;Montong;3523050;Montong;35.23.10
6;Parengan;3523060;Parengan;35.23.09
7;Soko;3523070;Soko;35.23.11
8;Rengel;3523080;Rengel;35.23.14
9;Grabagan;3523081;Grabagan;35.23.20
10;Plumpang;3523090;Plumpang;35.23.17
11;Widang;3523100;Widang;35.23.19
12;Palang;3523110;Palang;35.23.18
13;Semanding;3523120;Semanding;35.23.15
14;Tuban;3523130;Tuban;35.23.16
15;Jenu;3523140;Jenu;35.23.12
16;Merakurak;3523150;Merakurak;35.23.13
17;Kerek;3523160;Kerek;35.23.08
18;Tambakboyo;3523170;Tambakboyo;35.23.06
19;Jatirogo;3523180;Jatirogo;35.23.02
20;Bancar;3523190;Bancar;35.23.04
