No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Liukang Tangaya;7309010;Liukang Tangaya;73.10.01
2;Liukang Kalmas;7309020;Liukang Kalmas;73.10.02
3;Liukang Tupabbiring;7309030;Liukang Tupabbiring;73.10.03
4;Liukang Tupabbiring Utara;7309031;Liukang Tupabbiring Utara;73.10.13
5;Pangkajene;7309040;Pangkajene;73.10.04
6;Minasatene;7309041;Minasa Tene;73.10.10
7;Balocci;7309050;Balocci;73.10.05
8;Tondong Tallasa;7309051;Tondong Tallasa;73.10.12
9;Bungoro;7309060;Bungoro;73.10.06
10;Labakkang;7309070;Labakkang;73.10.07
11;'Ma''rang';7309080;Marang;73.10.08
12;Segeri;7309091;Segeri;73.10.09
13;Mandalle;7309092;Mandalle;73.10.11
