No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Semboja;6403010;Samboja;64.02.13
2;Muara Jawa;6403020;Muara Jawa;64.02.14
3;Sanga-sanga;6403030;Sanga Sanga;64.02.15
4;Loa Janan;6403040;Loa Janan;64.02.03
5;Loa Kulu;6403050;Loa Kulu;64.02.02
6;Muara Muntai;6403060;Muara Muntai;64.02.01
7;Muara Wis;6403070;Muara Wis;64.02.18
8;Kotabangun;6403080;Kota Bangun;64.02.08
9;Tenggarong;6403090;Tenggarong;64.02.06
10;Sebulu;6403100;Sebulu;64.02.07
11;Tenggarong Seberang;6403110;Tenggarong Seberang;64.02.16
12;Anggana;6403120;Anggana;64.02.04
13;Muara Badak;6403130;Muara Badak;64.02.05
14;Marang Kayu;6403140;Marang Kayu;64.02.17
15;Muara Kaman;6403150;Muara Kaman;64.02.11
16;Kenohan;6403160;Kenohan;64.02.09
17;Kembang Janggut;6403170;Kembang Janggut;64.02.10
18;Tabang;6403180;Tabang;64.02.12
