No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Muara Ancalong;6404010;Muara Ancalong;64.08.01
2;Busang;6404011;Busang;64.08.06
3;Long Mesangat;6404012;Long Mesangat;64.08.18
4;Muara Wahau;6404020;Muara Wahau;64.08.02
5;Telen;6404021;Telen;64.08.07
6;Kongbeng;6404022;Kombeng;64.08.08
7;Muara Bengkal;6404030;Muara Bengkal;64.08.03
8;Batu Ampar;6404031;Batu Ampar;64.08.17
9;Sangatta Utara;6404040;Sangatta Utara;64.08.04
10;Bengalon;6404041;Bengalon;64.08.09
11;Teluk Pandan;6404042;Teluk Pandan;64.08.13
12;Sangatta Selatan;6404043;Sangatta Selatan;64.08.12
13;Rantau Pulung;6404044;Rantau Pulung;64.08.14
14;Sangkulirang;6404050;Sangkulirang;64.08.05
15;Kaliorang;6404051;Kaliorang;64.08.10
16;Sandaran;6404052;Sandaran;64.08.11
17;Kaubun;6404053;Kaubun;64.08.15
18;Karangan;6404054;Karangan;64.08.16
