No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Nanggung;3201010;Nanggung;32.01.21
2;Leuwiliang;3201020;Leuwiliang;32.01.14
3;Leuwisadeng;3201021;Leuwisadeng;32.01.39
4;Pamijahan;3201030;Pamijahan;32.01.17
5;Cibungbulang;3201040;Cibungbulang;32.01.16
6;Ciampea;3201050;Ciampea;32.01.15
7;Tenjolaya;3201051;Tenjolaya;32.01.40
8;Dramaga;3201060;Dramaga;32.01.30
9;Ciomas;3201070;Ciomas;32.01.29
10;Tamansari;3201071;Tamansari;32.01.31
11;Cijeruk;3201080;Cijeruk;32.01.28
12;Cigombong;3201081;Cigombong;32.01.38
13;Caringin;3201090;Caringin;32.01.27
14;Ciawi;3201100;Ciawi;32.01.24
15;Cisarua;3201110;Cisarua;32.01.25
16;Megamendung;3201120;Megamendung;32.01.26
17;Sukaraja;3201130;Sukaraja;32.01.04
18;Babakan Madang;3201140;Babakan Madang;32.01.05
19;Sukamakmur;3201150;Sukamakmur;32.01.09
20;Cariu;3201160;Cariu;32.01.08
21;Tanjungsari;3201161;Tanjungsari;32.01.36
22;Jonggol;3201170;Jonggol;32.01.06
23;Cileungsi;3201180;Cileungsi;32.01.07
24;Kelapa Nunggal;3201181;Klapanunggal;32.01.32
25;Gunung Putri;3201190;Gunung Putri;32.01.02
26;Citeureup;3201200;Citeureup;32.01.03
27;Cibinong;3201210;Cibinong;32.01.01
28;Bojong Gede;3201220;Bojong Gede;32.01.13
29;Tajur Halang;3201221;Tajurhalang;32.01.37
30;Kemang;3201230;Kemang;32.01.12
31;Ranca Bungur;3201231;Ranca Bungur;32.01.34
32;Parung;3201240;Parung;32.01.10
33;Ciseeng;3201241;Ciseeng;32.01.33
34;Gunung Sindur;3201250;Gunung Sindur;32.01.11
35;Rumpin;3201260;Rumpin;32.01.18
36;Cigudeg;3201270;Cigudeg;32.01.22
37;Sukajaya;3201271;Sukajaya;32.01.35
38;Jasinga;3201280;Jasinga;32.01.19
39;Tenjo;3201290;Tenjo;32.01.23
40;Parung Panjang;3201300;Parung Panjang;32.01.20
