No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Sanga Desa;1606010;Sanga Desa;16.06.05
2;Babat Toman;1606020;Babat Toman;16.06.06
3;Batanghari Leko;1606021;Batang Hari Leko;16.06.04
4;Plakat Tinggi;1606022;Plakat Tinggi;16.06.10
5;Lawang Wetan;1606023;Lawang Wetan;16.06.13
6;Sungai Keruh;1606030;Sungai Keruh;16.06.03
7;Jirak Jaya;1606031;Sungai Keruh;16.06.03
8;Sekayu;1606040;Sekayu;16.06.01
9;Lais;1606041;Lais;16.06.02
10;Sungai Lilin;1606090;Sungai Lilin;16.06.07
11;Keluang;1606091;Keluang;16.06.08
12;Babat Supat;1606092;Babat Supat;16.06.14
13;Bayung Lencir;1606100;Bayung Lencir;16.06.09
14;Lalan;1606101;Lalan;16.06.11
15;Tungkal Jaya;1606102;Tungkal Jaya;16.06.12
