No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Wringinanom;3525010;Wringinanom;35.25.06
2;Driyorejo;3525020;Driyorejo;35.25.15
3;Kedamean;3525030;Kedamean;35.25.08
4;Menganti;3525040;Menganti;35.25.13
5;Cerme;3525050;Cerme;35.25.11
6;Benjeng;3525060;Benjeng;35.25.04
7;Balongpanggang;3525070;Balongpanggang;35.25.02
8;Duduksampeyan;3525080;Duduksampeyan;35.25.05
9;Kebomas;3525090;Kebomas;35.25.14
10;Gresik;3525100;Gresik;35.25.16
11;Manyar;3525110;Manyar;35.25.10
12;Bungah;3525120;Bungah;35.25.12
13;Sidayu;3525130;Sidayu;35.25.09
14;Dukun;3525140;Dukun;35.25.01
15;Panceng;3525150;Panceng;35.25.03
16;Ujungpangkah;3525160;Ujungpangkah;35.25.07
17;Sangkapura;3525170;Sangkapura;35.25.17
18;Tambak;3525180;Tambak;35.25.18
