No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Panggang;3403010;Panggang;34.03.06
2;Purwosari;3403011;Purwosari;34.03.18
3;Paliyan;3403020;Paliyan;34.03.05
4;Sapto Sari;3403030;Saptosari;34.03.15
5;Tepus;3403040;Tepus;34.03.07
6;Tanjungsari;3403041;Tanjungsari;34.03.17
7;Rongkop;3403050;Rongkop;34.03.11
8;Girisubo;3403051;Girisubo;34.03.16
9;Semanu;3403060;Semanu;34.03.08
10;Ponjong;3403070;Ponjong;34.03.10
11;Karangmojo;3403080;Karangmojo;34.03.09
12;Wonosari;3403090;Wonosari;34.03.01
13;Playen;3403100;Playen;34.03.03
14;Patuk;3403110;Patuk;34.03.04
15;Gedang Sari;3403120;Gedangsari;34.03.14
16;Nglipar;3403130;Nglipar;34.03.02
17;Ngawen;3403140;Ngawen;34.03.13
18;Semin;3403150;Semin;34.03.12
