No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Sungai Rumbai;1311010;Sungai Rumbai;13.10.03
2;Koto Besar;1311011;Koto Besar;13.10.11
3;Asam Jujuhan;1311012;Asam Jujuhan;13.10.10
4;Koto Baru;1311020;Koto Baru;13.10.01
5;Koto Salak;1311021;Koto Salak;13.10.07
6;Tiumang;1311022;Tiumang;13.10.08
7;Padang Laweh;1311023;Padang Laweh;13.10.09
8;Sitiung;1311030;Sitiung;13.10.04
9;Timpeh;1311031;Timpeh;13.10.06
10;Pulau Punjung;1311040;Pulau Punjung;13.10.02
11;Ix Koto;1311041;Sembilan Koto;13.10.05
